% time spent exploring,episodes,mean 100 episode reward,steps
93,10,-34.3,1966
86,20,-29.7,4197
78,30,-27.7,6554
70,40,-26.4,9052
63,50,-27.6,11120
56,60,-28.4,13206
48,70,-26.5,15584
42,80,-24.9,17393
35,90,-24.2,19568
24,100,-23.4,22822
17,110,-21.7,25029
9,120,-19.8,27340
3,130,-18.1,29343
1,140,-16.7,31258
1,150,-13.9,33326
1,160,-11.1,36975
1,170,-9.9,38727
1,180,-8.7,40521
1,190,-10.1,43202
1,200,-8.9,45155
1,210,-7.6,47006
1,220,-7.5,49099
1,230,-7.0,51318
1,240,-6.7,53524
1,250,-7.3,55558
1,260,-7.0,57445
1,270,-7.3,59567
1,280,-12.4,61570
1,290,-9.3,63667
1,300,-9.5,65508
1,310,-11.9,67392
1,320,-11.8,69136
1,330,-14.4,71148
1,340,-14.3,74013
1,350,-13.8,77482
1,360,-16.8,79353
1,370,-16.9,81823
1,380,-12.1,86094
1,390,-12.4,87995
1,400,-12.5,90131
1,410,-10.1,92208
1,420,-10.1,94246
1,430,-7.5,99524
