% time spent exploring,episodes,mean 100 episode reward,steps
89,10,-46.2,3124
82,20,-42.7,5170
76,30,-36.3,7090
70,40,-32.2,8815
62,50,-34.3,11432
55,60,-32.0,13496
47,70,-30.1,15979
40,80,-28.2,18039
34,90,-26.4,19863
29,100,-24.7,21314
21,110,-21.7,23754
13,120,-18.4,26167
4,130,-16.4,29053
1,140,-18.2,31937
1,150,-14.3,33515
1,160,-13.0,39017
1,170,-13.1,42145
1,180,-12.6,47536
1,190,-12.2,50344
1,200,-11.4,52752
1,210,-11.0,55106
1,220,-10.9,57325
1,230,-11.3,59226
1,240,-8.4,61765
1,250,-8.7,63497
1,260,-13.4,65588
1,270,-11.6,67227
1,280,-11.3,69257
1,290,-12.5,72352
1,300,-13.9,74313
1,310,-14.8,77599
1,320,-14.5,79412
1,330,-14.9,85354
1,340,-14.3,88382
1,350,-13.8,91391
1,360,-9.4,93094
1,370,-9.9,95905
