% time spent exploring,episodes,mean 100 episode reward,steps
93,10,-39.8,2110
88,20,-28.6,3602
81,30,-27.9,5650
75,40,-26.0,7376
67,50,-30.0,9700
62,60,-28.3,11386
54,70,-26.7,13868
47,80,-24.9,15950
40,90,-23.8,17920
32,100,-22.7,20511
23,110,-20.3,23164
17,120,-19.0,24907
10,130,-16.8,27269
3,140,-16.3,29165
1,150,-14.3,31771
1,160,-12.6,33561
1,170,-11.5,35333
1,180,-11.0,36949
1,190,-9.8,38977
1,200,-8.9,41245
1,210,-7.6,43120
1,220,-7.4,45628
1,230,-7.2,47664
1,240,-6.7,50181
1,250,-4.8,51948
1,260,-5.0,53980
1,270,-6.1,55785
1,280,-6.1,57514
1,290,-6.2,59489
1,300,-6.3,61639
1,310,-6.3,63727
1,320,-7.3,65379
1,330,-7.4,67119
1,340,-7.3,68996
1,350,-8.2,71394
1,360,-9.9,73208
1,370,-9.3,75052
1,380,-8.9,77080
1,390,-9.0,78750
1,400,-9.0,80521
1,410,-9.1,82947
1,420,-8.1,85074
1,430,-7.9,87484
1,440,-7.1,89610
1,450,-5.8,91184
1,460,-3.8,92796
1,470,-3.6,94419
1,480,-3.3,96345
1,490,-2.8,98388
