nmac,alert,reversal,segments
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
True,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
True,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
True,False,False,0
False,False,False,0
True,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
True,False,False,0
True,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
True,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
True,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
True,False,False,0
True,False,False,0
True,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
True,False,False,0
True,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
True,False,False,0
True,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
True,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
True,False,False,0
True,False,False,0
True,False,False,0
False,False,False,0
True,False,False,0
True,False,False,0
False,False,False,0
False,False,False,0
False,False,False,0
True,False,False,0
True,False,False,0
False,False,False,0
True,False,False,0
False,False,False,0
True,False,False,0
True,False,False,0
False,False,False,0
