% time spent exploring,episodes,mean 100 episode reward,steps
94,10,-29.7,1668
86,20,-37.7,4206
79,30,-36.1,6212
73,40,-32.3,8126
66,50,-30.8,10249
56,60,-39.3,13127
49,70,-41.8,15299
44,80,-38.0,16945
38,90,-34.9,18696
32,100,-33.4,20564
24,110,-32.2,22904
18,120,-29.9,24610
11,130,-28.4,26766
3,140,-29.1,29244
1,150,-27.9,30647
1,160,-20.6,32014
1,170,-15.9,34274
1,180,-17.0,36525
1,190,-17.1,39148
1,200,-20.7,41700
1,210,-19.4,43583
1,220,-18.7,47023
1,230,-21.5,51673
1,240,-19.8,53774
1,250,-19.4,57938
1,260,-19.6,62247
1,270,-19.4,63720
1,280,-17.7,65758
1,290,-17.8,67614
1,300,-17.9,71872
1,310,-19.0,75269
1,320,-18.4,77668
1,330,-15.2,79655
1,340,-17.1,83333
1,350,-17.7,85464
1,360,-17.5,88037
1,370,-18.2,92088
1,380,-17.9,93561
1,390,-18.2,98011
