% time spent exploring,episodes,mean 100 episode reward,steps
90,10,-70.1,3008
82,20,-75.0,5391
73,30,-62.4,8132
65,40,-55.8,10554
59,50,-49.7,12200
52,60,-48.6,14299
47,70,-47.6,16033
42,80,-42.9,17534
37,90,-39.2,19004
31,100,-37.1,20727
23,110,-32.4,23300
17,120,-25.4,25056
10,130,-22.9,27002
4,140,-20.3,28981
1,150,-18.4,30786
1,160,-15.8,32452
1,170,-12.4,33976
1,180,-12.9,36118
1,190,-13.2,37741
1,200,-12.1,39260
1,210,-10.6,40988
1,220,-10.7,43100
1,230,-11.6,46127
1,240,-12.2,47685
1,250,-13.1,49069
1,260,-11.7,50593
1,270,-11.7,52331
1,280,-12.3,53854
1,290,-11.2,55435
1,300,-10.9,57166
1,310,-11.6,58910
1,320,-10.9,60375
1,330,-8.9,62035
1,340,-10.5,64338
1,350,-9.4,66046
1,360,-12.1,67694
1,370,-12.2,69161
1,380,-14.7,72124
1,390,-14.7,73842
1,400,-15.9,75601
1,410,-19.7,78367
1,420,-19.9,79838
1,430,-20.7,81901
1,440,-17.6,83235
1,450,-17.4,84867
1,460,-15.9,87117
1,470,-16.4,88718
1,480,-12.4,90703
1,490,-12.8,92230
1,500,-12.5,94633
1,510,-7.6,96219
1,520,-7.8,97804
1,530,-7.7,99746
